id,name,name_en,scientific_name,is_active
d17b401f-692b-4f56-8238-7e0b6b50a7c9,Альтернариоз зерна,Alternaria grain disease,,True
d0e249de-c958-4886-a290-d8e919ffaabc,Бурая ржавчина,Brown rust,двудомный гриб,True
4c928a8b-0ab6-466b-8f1a-2047c02a9f60,Гельминтоспориозная корневая гниль,Helminthosporium root rot,,True
1833a39f-3f9b-474c-99de-cdbf22f20fd9,Гибеллиноз пшеницы,Gibellina disease of wheat,,True
b704c1dd-8c1d-441d-8983-62eeab6a5ad0,Желтая ржавчина,Yellow rust,,True
7fb447b6-4556-4301-bbe6-9954bff7334a,Мучнистая роса,Powdery mildew,,True
8696a0c3-9b5f-4e38-9ab9-7715a00598f5,Оливковая плесень,Olive mold,,True
54ab4656-2e13-46d7-8436-9769654af935,Офиоболезная корневая гниль,Ophiobolus root rot,,True
559e35d4-a03d-4edb-aa98-218a0ac8e908,Пиренофороз,Pyrenophorosis,,True
5f02d5c1-5eaf-4f02-9e85-ede06bbb5e1d,Плесневение семян,Mold formation on seeds,,True
180513d6-872c-4bcd-b36f-b3f2e5be163e,Полосатая пятнистость ячменя,Barley stripe rust,,True
38b5fa28-c95c-4463-b298-f7574005a708,Пыльная головня,Smut,,True
4dde5f23-06d0-4ee4-8364-ae39d9f2ef9d,Ржавчина карликовая ячменя,Barley dwarf rust,,True
e7f50f14-f47c-4ab8-a8a1-c6d3d6fdf9eb,Ржавчина корончатая,Crown rust,,True
397c96c1-eb26-4f67-8334-6bb366810a50,Ринхоспориоз,Rhynchosporiosis,,True
fb26b90e-d0f9-4351-8340-2846f3813a87,Септориоз,Septoria leaf spot,,True
14eae00d-c131-4d88-b9f8-6869976042b6,Септориоз колоса,Septoria head blight,,True
50e7b833-a145-4131-8d68-99813f850cfb,Сетчатая пятнистость ячменя,Net blotch of barley,,True
a54ad746-052f-450a-ae2e-0c70b4759f4d,Склеротиния зерновых культур,Sclerotinia of cereal crops,,True
c809b88a-b6a2-4028-8dd8-123e21c1f17c,Снежная плесень,Snow mold,,True
c177ac2f-c5d4-4524-ae50-7c9497a663c7,Альтернариоз зерна,Alternaria grain disease,,True
b1915325-d0d7-4221-8e3a-adf4d224580e,Бурая ржавчина,Brown rust,двудомный гриб,True
17088cc8-daf0-427d-875c-f0096d6d0ba2,Гельминтоспориозная корневая гниль,Helminthosporium root rot,,True
95c7e897-fc02-4458-8206-b4c21f97631f,Гибеллиноз пшеницы,Gibellina disease of wheat,,True
c2c313a1-2d1f-4c0b-ad83-5f069966e796,Желтая ржавчина,Yellow rust,,True
afedf928-28dd-4b7d-bd74-4afba3b6a929,Мучнистая роса,Powdery mildew,,True
1fb4539f-b330-432c-9561-ba718631b5a6,Оливковая плесень,Olive mold,,True
ab5e2f81-951b-4fd8-970f-8b02e695acc9,Офиоболезная корневая гниль,Ophiobolus root rot,,True
7201b3fa-b0e9-427a-b865-9da68c845326,Пиренофороз,Pyrenophorosis,,True
8476c0cb-6e05-494c-b88a-4f7540d8e3b2,Плесневение семян,Mold formation on seeds,,True
0b9c8cda-e52a-444e-a02b-4c0fbe64afab,Полосатая пятнистость ячменя,Barley stripe rust,,True
c6add4fb-f999-4504-ae83-40d5c140ce7f,Пыльная головня,Dust smut,,True
84c630b5-4baa-4b0b-a604-8275f63b6699,Ржавчина карликовая ячменя,Barley dwarf rust,,True
5ed01148-3e42-4800-b3f8-69e4de985716,Ржавчина корончатая,Crown rust,,True
43dbec75-c1c3-4ecd-be6f-971b7eb8c089,Ринхоспориоз,Rhynchosporium,,True
c1dd04a4-4863-492f-9cb0-80885867be93,Септориоз,Septoria leaf blotch,,True
f5f1d911-2338-4bf2-ba86-30ed56adb8e0,Септориоз колоса,Septoria head blight,,True
a7853d6c-cd1b-4485-99e0-463f1cb84593,Сетчатая пятнистость ячменя,Net blotch of barley,,True
e1993f4a-6688-4f65-86ad-20742764b93e,Склеротиния зерновых культур,Sclerotinia of cereal crops,,True
17ce5e25-6e2e-4116-a632-09e494f9b664,Снежная плесень,Snow mold,,True
aa7d0f38-6f70-413b-883f-286c2cafbcef,Альтернариоз зерна,Alternaria grain disease,,True
