feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
0.7665898469759365,0.1353437608750838,0.2451404541087712,0.1455886422122814,0.3334727828063488,0.7885427586592055,0.689048649882938,0.8609049769861542,0.5775837206167422,0.5201113905706294,1
0.2394685082937639,0.5596878047869682,0.1626581826630387,0.5295189291294706,0.5823741046266843,0.3552313350812369,0.7936566067392968,0.9503933958776656,0.1912002796906955,0.7122362365460213,1
0.2945867715358233,0.5758527310968828,0.6334010190483643,0.5590197838255879,0.8877344320422825,0.9240857791277906,0.340620033648623,0.4115358232609294,0.1014378801629102,0.1151878176747926,1
0.9484613834326442,0.3675456307797138,0.3016365067802041,0.7367230983976616,0.1003736864698051,0.1112524842986405,0.1240641917022604,0.7631659474972066,0.2072086228430585,0.4449487586271065,1
0.662915978307933,0.7449568484231406,0.8945901714787371,0.5833643709735683,0.7369692139792388,0.1576353232603348,0.6244246229623724,0.7929591390559116,0.4317693306621611,0.9932290355449992,1
0.5698036363450701,0.7426922739441656,0.6627656976900543,0.3668377298012855,0.4079301657415274,0.99538404150113,0.6057195295202739,0.8502512109604567,0.8613840167060457,0.9240043621408012,1
0.9338461470539454,0.7268186938382254,0.964468002689974,0.1178787759776536,0.8738531806366293,0.7149369448428085,0.051842372754853,0.4465829078506091,0.2725811962434368,0.7020576466457165,0
0.0493551898465142,0.4990321832914918,0.3834506600683891,0.0939792637254909,0.0823190073215917,0.8631935072170841,0.7659599948396564,0.8721105941224053,0.2601090843254912,0.9247227385579764,0
0.6172861245935336,0.882078104824912,0.4194149170074036,0.7957959518705411,0.8222473845792431,0.4733801127722093,0.1647993290403306,0.6022078306768642,0.1016294258074886,0.1108922467205236,0
0.860738091500813,0.1887415917514103,0.795368192785691,0.514213014466797,0.9321871219075584,0.1727107710162193,0.6493785249896643,0.156266104655828,0.0073021757669815,0.043148616295523,1
0.8193821429174465,0.1301552163066383,0.7184765634713185,0.2491849451731173,0.2085361598959829,0.2642597790096229,0.5605653241775361,0.4218550707695232,0.7739383435480783,0.2730847396820375,0
0.8515291872460216,0.5743023062462204,0.7953706348417912,0.7672435949401734,0.0733502223992131,0.8229492216458683,0.6178235873655319,0.730183653798413,0.6744721254496071,0.0813161238955455,0
0.4323105009617309,0.595458964125577,0.5467407524556246,0.8342480235803493,0.3082821258187967,0.9964245041166204,0.91388373569625,0.9449488918818776,0.4190937265383095,0.9154211178867586,1
0.5375789636798713,0.6874470904506946,0.8791583890309334,0.7118471361430112,0.4558198563354434,0.5216765959297759,0.3325228460471395,0.0753214227928039,0.4506400580517876,0.156112513546007,1
0.9884323274087164,0.5632465718790024,0.3341813507717456,0.6535791080768558,0.7651230948589947,0.1401380731992858,0.0570738570120826,0.976475689888294,0.4427958563755123,0.7464210754252186,1
0.2254935885436111,0.9768747314257128,0.2100791927851858,0.1196573380861399,0.7866633183387454,0.0769166662804105,0.9697956318540532,0.904655532825394,0.5827649482963337,0.6926470070361471,0
0.676977181284197,0.8238459250193644,0.0694479999429352,0.7506413493740939,0.8490572324761466,0.4878554688294394,0.0360031905912119,0.1111334214936449,0.3116368923006464,0.4313017444119301,1
0.191200640331268,0.0086320599881066,0.1760700463395913,0.7031733369583261,0.9908293076068176,0.0251317026054753,0.6742175927212436,0.7219407404746283,0.2016937072713335,0.9517200040107302,0
0.4543318454758378,0.3193830030073841,0.4996355849131861,0.0810770392526174,0.7269189304697894,0.0523200064923586,0.1580883923795658,0.8103330890944387,0.7824454010881607,0.7927024736240478,0
0.07025897957671,0.4216704996534148,0.8089429172681046,0.5225325156648644,0.2932941948721472,0.8992840165175805,0.5829959339202879,0.3742927921669244,0.2985288511268259,0.7609050407658304,1
0.8707208004568885,0.5855377153379981,0.25174086610314,0.7345765836506803,0.7836823561600517,0.6218960811898386,0.6413453454197402,0.7783711091466781,0.5501570882205733,0.6662147158007756,0
0.7562102475542236,0.6895460878236236,0.3535742795590411,0.8584848025348082,0.1415420391290784,0.0230267092897203,0.0056657158962087,0.394434673927497,0.6122137150747402,0.3515374758009149,1
0.1420811333543176,0.1750241801935529,0.315523418857679,0.0502289318028638,0.5815107468291301,0.1971315247091489,0.2486036721159271,0.8104873680501716,0.446876052668148,0.96044495926641,1
0.3138105291317359,0.533963481003874,0.483292695342693,0.544432385797912,0.7795264600336662,0.893513537864071,0.417706433545762,0.4699931743366035,0.1658651660523851,0.6324285519361615,0
0.3408485895585548,0.6475411368136362,0.0512305764241696,0.698455746708018,0.0810222126058738,0.3275817346083369,0.963264445582516,0.693811890634053,0.7497592421067801,0.1447323992123473,1
0.8162816721493322,0.2129878906522686,0.8094469065673542,0.778170124358434,0.5739993614123374,0.4768223077311687,0.5403561962078304,0.7107962265977439,0.9063732606365592,0.3375963036393552,1
0.2959285146737336,0.7548247941200197,0.8357972176439608,0.9392351093832992,0.0431540066706562,0.2836764868040596,0.0282850566608932,0.8344708440201887,0.6281978661070242,0.7514855607229982,0
0.6323159155360074,0.6879894692604065,0.0403270254503957,0.2404477107737149,0.5899681397273177,0.3280484909060344,0.7995020168222648,0.2791180088213236,0.0832905814660887,0.0721906692636759,1
